text|is_offensive|target
Korkak bi adamla evlenmek gibi bi niyetim yok|1|INSULT
kadin degil misiniz siz hepiniz aynisiniz|1|SEXIST
çok bilgili bir kızdı|0|OTHER
bok kafalı montofon ineği|1|PROFANITY
amcık biberi|1|PROFANITY
Balgam atmaya değmezsin|1|INSULT
ananın amına demlik koyayım|1|PROFANITY
Karı kılıklı|1|SEXIST
ölsen kimse ağlamaz|1|INSULT
kız gibi& araba= kullanma|1|SEXIST
sus lan sikik|1|PROFANITY
 |1|OTHER
siyahiler kadar suça karışan bir millet var mı|1|RACIST
Kız dediğin ağır başlı olur, ne o öyle mızmız hareketler|1|SEXIST
amını sopayla sikerim|1|PROFANITY
işe yaramaz herif|1|INSULT
nerede çağdaş uygarlığın üzerine, yükselme idealimiz|0|OTHER
en muhteşem sen olamazsın|1|INSULT
erkekler kızları mendil gibi kullanır|1|SEXIST
Bu erkeklerin yönettiği bir dünyadır|1|SEXIST
seni ikna eder öyle sikerim|1|PROFANITY
Lan dalyarak terbiyesizliğini ''kadına'' indirgeme ağzındakini başka yerine monte ederler ağlarsın.|1|PROFANITY
Almanlar, sanayi devrimi ile dünyada büyük değişikliklere yol açmışlardır.|0|other
Ananın amını bütün kainat siksin|1|PROFANITY
bugün gelinen nokta işte bu gayretlerin ürünüdür|0|OTHER
uygun böbrek bulabilmek için ne kadar süre bekleneceği de belirsizdir|0|OTHER
Toplumda her birey, cinsiyetine bakılmaksızın aynı saygıyı hak eder.|0|other
Kadınların toplumda daha fazla görünür olmaları gerektiğine inanıyorum.|0|other
yemek sonrası otele transfer|0|OTHER
Cingeneye padişahlık vermişler önce babasını asmış|1|RACIST
ananın amının kıllarını babana bıyık yaparım|1|PROFANITY
böyle konuşmaya devam edersen ağzını burnunu dağıtırım|1|INSULT
ona konut içinde yeni koşullara göre nasıl yaşayacağını öğretmek de gerekiyormuş|0|OTHER
belki de hic kendi olamamistir|0|OTHER
erkekler daha güçlüdür|1|SEXIST
gavur ölüsü gibi değersiz görüyorlardı orada yatanları|1|RACIST
gavur dölü|1|RACIST
Haberin doğrusunu oğlandan al|1|SEXIST
boku ne kadar kurcalarsan o kadar kokusu çıkar|1|PROFANITY
tarık akan altın portakal film festivali adlı ödül yarışmasında yedi ödül alan tek erkek oyuncudur|0|OTHER
son dakika golleriyle ne maçlar aldık|0|OTHER
kuş kadar aklınla sen karışma|1|INSULT
erkek aldatsa da kadın affetmeli|1|SEXIST
evet araplar haindir ve kanlarında hainlik vardır|1|RACIST
