text|is_offensive|target
Kadınların iş hayatında eşit haklara sahip olması gerektiğine inanıyorum.|0|other
Erkeklerin evde daha fazla zaman geçirmesi, aile hayatına katkı sağlar.|0|other
Kadınlar, erkeklerle aynı meslekleri seçme hakkına sahiptir.|0|other
Kadınların politikaya daha fazla katılım göstermesi gerektiğini düşünüyorum.|0|other
Erkeklerin de daha duygusal olmaları gerektiğini savunuyorum.|0|other
Kadınların liderlik rollerinde daha fazla yer alması gerektiğine inanıyorum.|0|other
Kadınlar ve erkekler eşit haklara sahip olmalı, bu evrensel bir gerekliliktir.|0|other
Erkeklerin kadınlarla eşit maaş alması gerektiğini düşünüyorum.|0|other
Kadınların teknoloji alanında daha fazla yer alması gerektiğini düşünüyorum.|0|other
Toplum olarak, kadınların erkeklerle eşit eğitim haklarına sahip olmasını sağlamalıyız.|0|other
Erkekler ve kadınlar arasında cinsiyet eşitliği sağlanmalı.|0|other
Kadınların karar alma süreçlerinde daha fazla yer alması gerektiğini savunuyorum.|0|other
Erkeklerin duygusal sağlıklarına daha fazla önem verilmesi gerektiğini düşünüyorum.|0|other
Kadınlar da erkekler kadar güçlü olabilirler.|0|other
Kadınların iş yerlerinde erkeklerle eşit terfi imkanlarına sahip olması gerektiğini düşünüyorum.|0|other
Kadınlar evde olduğu gibi iş yerlerinde de eşit haklara sahip olmalı.|0|other
Erkeklerin de duygusal desteğe ihtiyaçları vardır.|0|other
Kadınların erkeklerle eşit şartlarda eğitim alması gerektiğini düşünüyorum.|0|other
Kadınlar, erkeklerle eşit fırsatlar sunulması halinde daha büyük başarılar elde edebilirler.|0|other
Erkeklerin, kadınların toplumsal hayatta daha fazla yer alması gerektiğini kabul etmeleri önemli.|0|other
Kadınların toplumdaki liderlik rollerinde daha fazla yer alması gerektiğine inanıyorum.|0|other
Erkeklerin evdeki sorumlulukları paylaşmaları, aile hayatını daha dengeli hale getirir.|0|other
Kadınların toplumsal hayatta daha fazla fırsat elde etmesi gerektiğine inanıyorum.|0|other
Erkeklerin toplumda duygusal rollerini daha açık şekilde ifade edebilmeleri gerekiyor.|0|other
Kadınlar ve erkekler eşit fırsatlara sahip olmalı, bu insan hakları meselesidir.|0|other
Kadınların iş gücüne katılımını teşvik etmek toplumun yararına olur.|0|other
Erkeklerin de kadınlar gibi eğitime eşit erişimi olmalı.|0|other
