text|is_offensive|target
Bu pis yemekleri hep Hintliler yapar.|1|RACIST
Çingene parasıyla doluydu cüzdanı|1|RACIST
bu kızın kahvede ne işi var|1|SEXIST
Aklında sorun mu var|1|INSULT
Elalem denen sikik topluluğunun ayıpladığı her şeyi severim|1|PROFANITY
allah canımı alsın da ölmüşlerini sikeyim|1|PROFANITY
bu ejderha diğer ejderhalardan farklı olarak kendini göstermez yiyecek çalmaz ve asla ıskalamazdı|0|OTHER
Budistler pis nehirlerde arındıklarını sanıyorlar|1|RACIST
afrika amerika asya ve avustralyada geleneksel dinlere inanan 400 milyon kişi (yüzde 6) var|0|OTHER
siz ikinizin hemfikir olduğuna memnun oldum|0|OTHER
amına. everest giresice&|1|PROFANITY
Karı yürekli|1|SEXIST
Hanım köylü adamlara bizim camiada yer yok|1|SEXIST
kalite teminiyle ilgili uygulamalarda ve ilgili onaylarda değişiklik yapılabilir|0|OTHER
Erkekler arabayla oynar|1|SEXIST
ağ üzerindeki bir nokta|0|OTHER
kalpsiz gibi durma karsimda|1|INSULT
git kendini becer|1|PROFANITY
İğrenç birisin|1|INSULT
bir bardak suyu annesine vermeyi çok görmüştü hayırsız evladı|1|INSULT
Ağaçtan maşa Kürt’ten paşa olmaz|1|RACIST
böyle bir şey düşünmek, bile> beni= yerimden zıplatıyor heyecanlandırıyor&|0|OTHER
Gölgesinden korkar adam ne yapabilir ki|1|INSULT
Beyaz amerikalı seni|1|RACIST
kiz dedigin birakir tatliyi yemegi, alir cayini acar orucunu dindirir bas agrisini|1|SEXIST
Ne demek Jimin tüm albüme klip istedi ama sikko şirket reddetti?? Hiçbir şeyi düzgün yapamıyor ne sanatçısını koruyor ne yapılan sabotajlara ses çıkartıyor|1|PROFANITY
bu hakları kötüye kullanmak isteyenler olduğunda da hukukun gerektirdiğini yapmaktır devletin görevi|0|OTHER
bu kadınlarda gidip hep böyle maço psikopat adamlarla birlikte oluyorlar|1|SEXIST
sayısal veri elde etmek için kullanılır|0|OTHER
tom kahvaltıda gözleme yedi|0|OTHER
kapuska eşşeği|1|INSULT
amı kırığın piç bebesi|1|PROFANITY
elini vicdanına koy desem panik yapar elini götüne sokarsın|1|PROFANITY
ananında, avradınında babaaanneninde< amına< koyarım<|1|PROFANITY
Ne demiş atalarımız anasına bak kızını al|1|SEXIST
Disi yalanmazsa erkek dolanmaz|1|SEXIST
Seni doğuranın amına koyayım|1|PROFANITY
açıkçası sana puştluk yapmış|1|INSULT
sanat bilimlerin en büyüğüdür|0|OTHER
solunum yolları hastalıkları arasında astımın teşhisi ne yazık ki pek de kolay olmuyor|0|OTHER
öyle kızmış bir halin var ki yüzüme bakmıyorsun|0|OTHER
 |1|RACIST
Ananın amına fışkırtırım|1|PROFANITY
kürtler yaşamamalı|1|RACIST
sokak modası kış trend listesinde neler var|0|OTHER
o bir süre mutluydu|0|OTHER
eski eşim piskopatın tekiydi|1|INSULT
bir osurukluk canın var|1|PROFANITY
tom bana uykumun gelip gelmediğini sordu|0|OTHER
Sağlık hizmetlerimiz mülteciler yüzünden işgal altında yeter artık|1|RACIST
Senin kadar pasaklı birini görmedim.|1|INSULT
Bu ne- ses Çingene düğünü, gibi.|1|RACIST
çalışmalarımızda kapı kulpundan kent ölçeğine dememizin sebebi de her alanda bir kenti tasarlamak bazen bir kapı tokmağı tasarlamaktan daha kolay olabilir|0|OTHER
Hayat kısa ve insanlar karaktersiz.|1|INSULT
Arap&din kardeşliğiniz batsın|1|RACIST
bizim oylarımızla köydeki çobanın oyu bir olamaz|1|RACIST
harbiden dedikleri kadar varmışsın|1|INSULT
Yiğidin sözü ölünceye kadar kendisi ölsün|1|SEXIST
Biz ırkçı değiliz ama enayi de değiliz bu misafirlik fazla uzadı|1|RACIST
Suriyeliler afgan ukranyalilar ve digerleri yuk degilde bizmi yukuz|1|RACIST
almanya futbol federasyonu da olayı yönetememeleri gerekçesiyle büyük tepki toplamıştı|0|OTHER
adam gibi ol|1|SEXIST
sikin oynar amcıkta|1|PROFANITY
